"TRAIT","GO","NAME","FUNCTION","QTL","locusName","Best.hit.arabi.name","arabi.symbol","arabi.defline","Best.hit.rice.name","rice.defline"
"Mn55","GO:0006355","regulation of transcription, DNA-templated","biological_process","7K@40.02","Pavir.7KG414600","AT2G21060","ATCSP4,ATGRP2B,GRP2B","glycine-rich protein 2B","LOC_Os08g03520","retrotransposon protein, putative, Ty1-copia subclass, expressed"
"Mn55","GO:0006355","regulation of transcription, DNA-templated","biological_process","9K@20.05","Pavir.9KG014874","AT4G37750","ANT,CKC,CKC1,DRG","Integrase-type DNA-binding superfamily protein","LOC_Os03g56050","AP2-like ethylene-responsive transcription factor AINTEGUMENTA, putative, expressed"
"Mn55","GO:0006355","regulation of transcription, DNA-templated","biological_process","9K@20.05","Pavir.9KG032552","AT2G23760","BLH4,SAW2","BEL1-like homeodomain 4","LOC_Os03g52239","homeobox domain containing protein, expressed"
"Mn55","GO:0006355","regulation of transcription, DNA-templated","biological_process","9K@20.05","Pavir.9KG224200","AT5G65590","","Dof-type zinc finger DNA-binding family protein","LOC_Os03g55610","dof zinc finger domain containing protein, putative, expressed"
"Mn55","GO:0006355","regulation of transcription, DNA-templated","biological_process","9K@20.05","Pavir.9KG308766","AT2G34620","","Mitochondrial transcription termination factor family protein","LOC_Os03g57149","mTERF domain containing protein, expressed"
"Mn55","GO:0006355","regulation of transcription, DNA-templated","biological_process","9K@20.05","Pavir.9KG315252","AT2G43000","anac042,NAC042","NAC domain containing protein 42","LOC_Os03g56580","no apical meristem protein, putative, expressed"
"Mn55","GO:0006355","regulation of transcription, DNA-templated","biological_process","9K@20.05","Pavir.9KG395865","AT4G27950","CRF4","cytokinin response factor 4","LOC_Os03g60120","AP2 domain containing protein, expressed"
"Mn55","GO:0006355","regulation of transcription, DNA-templated","biological_process","9K@20.05","Pavir.9KG396429","AT5G63790","ANAC102,NAC102","NAC domain containing protein 102","LOC_Os03g60080","NAC domain-containing protein 67, putative, expressed"
"Mn55","GO:0006355","regulation of transcription, DNA-templated","biological_process","9K@20.05","Pavir.9KG396711","AT4G35580","NTL9","NAC transcription factor-like 9","LOC_Os03g61249","RD26, putative, expressed"
"Mn55","GO:0006355","regulation of transcription, DNA-templated","biological_process","9K@20.05","Pavir.9KG396993","","","","LOC_Os03g61249","RD26, putative, expressed"
"Mn55","GO:0006355","regulation of transcription, DNA-templated","biological_process","9K@20.05","Pavir.9KG397839","AT3G04070","anac047,NAC047","NAC domain containing protein 47","LOC_Os03g59730","No apical meristem protein, putative, expressed"
"Mn55","GO:0006355","regulation of transcription, DNA-templated","biological_process","9K@20.05","Pavir.9KG409826","","","","LOC_Os03g61249","RD26, putative, expressed"
"Mn55","GO:0006355","regulation of transcription, DNA-templated","biological_process","9K@20.05","Pavir.9KG416736","AT1G04240","IAA3,SHY2","AUX/IAA transcriptional regulator family protein","LOC_Os07g08460","OsIAA24 - Auxin-responsive Aux/IAA gene family member, expressed"
"Mn55","GO:0006355","regulation of transcription, DNA-templated","biological_process","9K@20.05","Pavir.9KG473472","AT3G04730","IAA16","indoleacetic acid-induced protein 16","LOC_Os03g53150","OsIAA13 - Auxin-responsive Aux/IAA gene family member, expressed"
"Mn55","GO:0006355","regulation of transcription, DNA-templated","biological_process","2N@10.06","Pavir.2NG027300","AT5G38800","AtbZIP43,bZIP43","basic leucine-zipper 43","LOC_Os07g03220","bZIP transcription factor domain containing protein, expressed"
"Mn55","GO:0006355","regulation of transcription, DNA-templated","biological_process","2N@10.06","Pavir.2NG030700","AT4G08150","BP,BP1,KNAT1","KNOTTED-like from Arabidopsis thaliana","LOC_Os07g03770","Homeobox domain containing protein, expressed"
"Mn55","GO:0006355","regulation of transcription, DNA-templated","biological_process","2N@10.06","Pavir.2NG055900","AT3G22830","AT-HSFA6B,HSFA6B","heat shock transcription factor  A6B","LOC_Os07g08140","heat stress transcription factor, putative, expressed"
"Mn55","GO:0006355","regulation of transcription, DNA-templated","biological_process","2N@10.06","Pavir.2NG061800","AT4G02640","ATBZIP10,BZO2H1","bZIP transcription factor family protein","LOC_Os03g58250","bZIP transcription factor domain containing protein, expressed"
"Mn55","GO:0006355","regulation of transcription, DNA-templated","biological_process","3N@51.93","Pavir.3NG079571","AT2G16770","bZIP23","Basic-leucine zipper (bZIP) transcription factor family protein","LOC_Os05g41540","bZIP transcription factor domain containing protein, expressed"
"Mn55","GO:0006355","regulation of transcription, DNA-templated","biological_process","3N@51.93","Pavir.3NG079590","AT3G12250","BZIP45,TGA6","TGACG motif-binding factor 6","LOC_Os01g59350","transcription factor, putative, expressed"
"Mn55","GO:0006355","regulation of transcription, DNA-templated","biological_process","3N@51.93","Pavir.3NG079659","AT3G56400","ATWRKY70,WRKY70","WRKY DNA-binding protein 70","LOC_Os05g40060","WRKY48, expressed"
"Mn55","GO:0006355","regulation of transcription, DNA-templated","biological_process","3N@51.93","Pavir.3NG079660","AT3G56400","ATWRKY70,WRKY70","WRKY DNA-binding protein 70","LOC_Os05g40080","WRKY54, expressed"
"Mn55","GO:0006355","regulation of transcription, DNA-templated","biological_process","3N@51.93","Pavir.3NG079661","AT2G40740","ATWRKY55,WRKY55","WRKY DNA-binding protein 55","LOC_Os05g40070","WRKY84, expressed"
"Mn55","GO:0006355","regulation of transcription, DNA-templated","biological_process","3N@51.93","Pavir.3NG079662","AT3G56400","ATWRKY70,WRKY70","WRKY DNA-binding protein 70","LOC_Os05g40080","WRKY54, expressed"
"Mn55","GO:0006355","regulation of transcription, DNA-templated","biological_process","3N@51.93","Pavir.3NG079701","AT2G38470","ATWRKY33,WRKY33","WRKY DNA-binding protein 33","LOC_Os05g39720","WRKY70, expressed"
"Mn55","GO:0006355","regulation of transcription, DNA-templated","biological_process","3N@51.93","Pavir.3NG179253","AT4G01250","AtWRKY22,WRKY22","WRKY family transcription factor","LOC_Os05g50700","WRKY111, expressed"
"Mn55","GO:0006355","regulation of transcription, DNA-templated","biological_process","3N@51.93","Pavir.3NG179292","AT2G47260","ATWRKY23,WRKY23","WRKY DNA-binding protein 23","LOC_Os05g50610","WRKY8, expressed"
"Mn55","GO:0006355","regulation of transcription, DNA-templated","biological_process","3N@51.93","Pavir.3NG179344","AT5G25150","TAF5","TBP-associated factor 5","LOC_Os06g44030","WD domain, G-beta repeat domain containing protein, expressed"
"Mn55","GO:0006355","regulation of transcription, DNA-templated","biological_process","3N@51.93","Pavir.3NG180714","AT4G23810","ATWRKY53,WRKY53","WRKY family transcription factor","LOC_Os05g49620","WRKY19, expressed"
"Mn55","GO:0006355","regulation of transcription, DNA-templated","biological_process","3N@51.93","Pavir.3NG180844","AT2G46270","GBF3","G-box binding factor 3","LOC_Os05g49420","transcription factor, putative, expressed"
"Mn55","GO:0006355","regulation of transcription, DNA-templated","biological_process","3N@51.93","Pavir.3NG181210","AT4G04450","AtWRKY42,WRKY42","WRKY family transcription factor","LOC_Os05g49210","WRKY43, expressed"
"Mn55","GO:0006355","regulation of transcription, DNA-templated","biological_process","3N@51.93","Pavir.3NG181496","AT4G18170","ATWRKY28,WRKY28","WRKY DNA-binding protein 28","LOC_Os05g49100","WRKY49, expressed"
"Mn55","GO:0006355","regulation of transcription, DNA-templated","biological_process","3N@51.93","Pavir.3NG258053","AT5G64810","ATWRKY51,WRKY51","WRKY DNA-binding protein 51","LOC_Os05g46020","WRKY7, expressed"
"Mn55","GO:0006355","regulation of transcription, DNA-templated","biological_process","3N@51.93","Pavir.3NG258095","AT4G18880","AT-HSFA4A,HSF A4A","heat shock transcription factor  A4A","LOC_Os05g45410","HSF-type DNA-binding domain containing protein, expressed"
"Mn55","GO:0006355","regulation of transcription, DNA-templated","biological_process","3N@51.93","Pavir.3NG258111","AT5G41570","ATWRKY24,WRKY24","WRKY DNA-binding protein 24","LOC_Os01g53260","WRKY23, expressed"
"Mn55","GO:0006355","regulation of transcription, DNA-templated","biological_process","3N@51.93","Pavir.3NG258223","AT4G38180","FRS5","FAR1-related sequence 5","LOC_Os02g25460","transposon protein, putative, unclassified"
"Mn55","GO:0006355","regulation of transcription, DNA-templated","biological_process","3N@51.93","Pavir.3NG258236","AT1G26470","","","LOC_Os05g43680","expressed protein"
"Mn55","GO:0006355","regulation of transcription, DNA-templated","biological_process","5K@12.07","Pavir.5KG037850","AT3G58120","ATBZIP61,BZIP61","Basic-leucine zipper (bZIP) transcription factor family protein","LOC_Os01g11350","bZIP transcription factor domain containing protein, expressed"
"Mn55","GO:0006355","regulation of transcription, DNA-templated","biological_process","5K@12.07","Pavir.5KG057300","AT5G64810","ATWRKY51,WRKY51","WRKY DNA-binding protein 51","LOC_Os01g09100","WRKY10, expressed"
"Mn55","GO:0006355","regulation of transcription, DNA-templated","biological_process","5K@12.07","Pavir.5KG057400","AT5G15130","ATWRKY72,WRKY72","WRKY DNA-binding protein 72","LOC_Os01g09080","WRKY107, expressed"
"Mn55","GO:0006355","regulation of transcription, DNA-templated","biological_process","5K@12.07","Pavir.5KG065122","AT4G39410","ATWRKY13,WRKY13","WRKY DNA-binding protein 13","LOC_Os01g08710","WRKY102, expressed"
"Mn55","GO:0006355","regulation of transcription, DNA-templated","biological_process","5K@12.07","Pavir.5KG068900","AT5G11260","HY5,TED 5","Basic-leucine zipper (bZIP) transcription factor family protein","LOC_Os01g07880","transcription factor HY5, putative, expressed"
"Mn55","GO:0006355","regulation of transcription, DNA-templated","biological_process","5K@12.07","Pavir.5KG080800","AT5G05660","ATNFXL2","sequence-specific DNA binding transcription factors;zinc ion binding;sequence-specific DNA binding transcription factors","LOC_Os01g06550","NF-X1-type zinc finger protein, putative, expressed"
"Mn55","GO:0006355","regulation of transcription, DNA-templated","biological_process","5K@12.07","Pavir.5KG092400","AT3G12380","ARP5,ATARP5","actin-related protein 5","LOC_Os05g01600","actin, putative, expressed"
"Mn55","GO:0006355","regulation of transcription, DNA-templated","biological_process","7K@40.02","Pavir.7KG335100","AT1G79350","EMB1135","RING/FYVE/PHD zinc finger superfamily protein","LOC_Os08g12680","zinc finger domain, LSD1 subclass family protein, expressed"
"Mn55","GO:0006355","regulation of transcription, DNA-templated","biological_process","7K@40.02","Pavir.7KG392300","AT5G45190","","Cyclin family protein","LOC_Os02g24190","cyclin-T1-2, putative, expressed"
"Mn55","GO:0006355","regulation of transcription, DNA-templated","biological_process","7K@40.02","Pavir.7KG407400","AT5G10030","OBF4,TGA4","TGACG motif-binding factor 4","LOC_Os04g54474","transcription factor, putative, expressed"
"Mn55","GO:0006355","regulation of transcription, DNA-templated","biological_process","9K@20.05","Pavir.9KG014310","AT4G08150","BP,BP1,KNAT1","KNOTTED-like from Arabidopsis thaliana","LOC_Os07g03770","Homeobox domain containing protein, expressed"
"Mn55","GO:0006355","regulation of transcription, DNA-templated","biological_process","9K@20.05","Pavir.9KG015297","AT2G22850","AtbZIP6,bZIP6","basic leucine-zipper 6","LOC_Os03g56010","bZIP transcription factor domain containing protein, expressed"
"Mn55","GO:0006355","regulation of transcription, DNA-templated","biological_process","9K@20.05","Pavir.9KG026357","AT5G27620","CYCH;1","cyclin H;1","LOC_Os03g52750","cyclin, putative, expressed"
"Mn55","GO:0006355","regulation of transcription, DNA-templated","biological_process","9K@20.05","Pavir.9KG229058","AT1G13960","WRKY4","WRKY DNA-binding protein 4","LOC_Os08g38990","WRKY30, expressed"
"Mn55","GO:0006355","regulation of transcription, DNA-templated","biological_process","9K@20.05","Pavir.9KG230750","AT1G69310","ATWRKY57,WRKY57","WRKY DNA-binding protein 57","LOC_Os03g55080","WRKY3, expressed"
"Mn55","GO:0006355","regulation of transcription, DNA-templated","biological_process","9K@20.05","Pavir.9KG314688","AT4G38180","FRS5","FAR1-related sequence 5","LOC_Os03g56630","transposon protein, putative, unclassified, expressed"
"Mn55","GO:0006355","regulation of transcription, DNA-templated","biological_process","9K@20.05","Pavir.9KG398685","AT2G47350","","HIT zinc finger ;PAPA-1-like conserved region","LOC_Os03g59680","PAPA-1-like conserved region family protein, expressed"
"Mn55","GO:0006355","regulation of transcription, DNA-templated","biological_process","9K@20.05","Pavir.9KG401647","AT4G36730","GBF1","G-box binding factor 1","LOC_Os07g10890","transcription factor, putative, expressed"
"Mn55","GO:0006355","regulation of transcription, DNA-templated","biological_process","9K@20.05","Pavir.9KG416031","AT2G30590","WRKY21","WRKY DNA-binding protein 21","LOC_Os03g58420","WRKY6, expressed"
"Mn55","GO:0006355","regulation of transcription, DNA-templated","biological_process","9K@20.05","Pavir.9KG418147","AT5G28770","AtbZIP63,BZO2H3","bZIP transcription factor family protein","LOC_Os03g58250","bZIP transcription factor domain containing protein, expressed"
"Mn55","GO:0006355","regulation of transcription, DNA-templated","biological_process","9K@20.05","Pavir.9KG419698","AT3G22830","AT-HSFA6B,HSFA6B","heat shock transcription factor  A6B","LOC_Os03g58160","heat stress transcription factor, putative, expressed"
"Mn55","GO:0006355","regulation of transcription, DNA-templated","biological_process","9K@20.05","Pavir.9KG470802","AT2G26150","ATHSFA2,HSFA2","heat shock transcription factor A2","LOC_Os03g53340","HSF-type DNA-binding domain containing protein, expressed"
"Mn55","GO:0006355","regulation of transcription, DNA-templated","biological_process","3N@51.93","Pavir.3NG179853","AT4G36620","GATA19","GATA transcription factor 19","LOC_Os05g50270","GATA zinc finger domain containing protein, expressed"
"Mn55","GO:0006355","regulation of transcription, DNA-templated","biological_process","3N@51.93","Pavir.3NG181040","AT2G18380","GATA20","GATA transcription factor 20","LOC_Os05g49280","GATA zinc finger domain containing protein, expressed"
"Mn55","GO:0006355","regulation of transcription, DNA-templated","biological_process","3N@51.93","Pavir.3NG181796","AT2G33860","ARF3,ETT","Transcriptional factor B3 family protein / auxin-responsive factor AUX/IAA-related","LOC_Os05g48870","auxin response factor 15, putative, expressed"
"Mn55","GO:0006355","regulation of transcription, DNA-templated","biological_process","3N@51.93","Pavir.3NG183635","AT3G10330","","Cyclin-like family protein","LOC_Os05g47480","transcription initiation factor IIB, putative, expressed"
"Mn55","GO:0006355","regulation of transcription, DNA-templated","biological_process","3N@51.93","Pavir.3NG183648","AT3G10330","","Cyclin-like family protein","LOC_Os05g47480","transcription initiation factor IIB, putative, expressed"
"Mn55","GO:0006355","regulation of transcription, DNA-templated","biological_process","3N@51.93","Pavir.3NG258160","AT5G25830","GATA12","GATA transcription factor 12","LOC_Os05g44400","GATA zinc finger domain containing protein, expressed"
"Mn55","GO:0006355","regulation of transcription, DNA-templated","biological_process","3N@51.93","Pavir.3NG258205","AT2G33860","ARF3,ETT","Transcriptional factor B3 family protein / auxin-responsive factor AUX/IAA-related","LOC_Os05g43920","auxin response factor 14, putative, expressed"
"Mn55","GO:0006355","regulation of transcription, DNA-templated","biological_process","5K@12.07","Pavir.5KG080900","AT5G05610","AL1","alfin-like 1","LOC_Os05g07040","PHD finger protein, putative, expressed"
"Mn55","GO:0006355","regulation of transcription, DNA-templated","biological_process","9K@20.05","Pavir.9KG029255","AT3G21175","GATA24,TIFY2B,ZML1","ZIM-like 1","LOC_Os03g52450","GATA transcription factor 25, putative, expressed"
"Mn55","GO:0006355","regulation of transcription, DNA-templated","biological_process","9K@20.05","Pavir.9KG460911","AT3G02310","AGL4,SEP2","K-box region and MADS-box transcription factor family protein ","LOC_Os03g54170","OsMADS34 - MADS-box family gene with MIKCc type-box, expressed"
"Mn55","GO:0006355","regulation of transcription, DNA-templated","biological_process","9K@20.05","Pavir.9KG461068","AT1G69120","AGL7,AP1","K-box region and MADS-box transcription factor family protein ","LOC_Os03g54160","OsMADS14 - MADS-box family gene with MIKCc type-box, expressed"
"Mn55","GO:0006355","regulation of transcription, DNA-templated","biological_process","9K@20.05","Pavir.9KG462324","AT5G35840","PHYC","phytochrome C","LOC_Os03g54084","phytochrome C, putative, expressed"
"Mn55","GO:0005634","nucleus","cellular_component","2N@10.06","Pavir.2NG024200","AT5G22250","","Polynucleotidyl transferase, ribonuclease H-like superfamily protein","LOC_Os07g07430","CAF1 family ribonuclease containing protein, putative, expressed"
"Mn55","GO:0005634","nucleus","cellular_component","2N@10.06","Pavir.2NG064700","AT1G47220","CYCA3;3","Cyclin A3;3","LOC_Os02g39420","cyclin, putative, expressed"
"Mn55","GO:0005634","nucleus","cellular_component","7K@40.02","Pavir.7KG339000","AT5G52230","MBD13","methyl-CPG-binding domain protein 13","LOC_Os04g52380","methyl-CpG binding domain containing protein, putative, expressed"
"Mn55","GO:0005634","nucleus","cellular_component","2N@10.06","Pavir.2NG022600","AT5G62090","SLK2","SEUSS-like 2","LOC_Os06g03600","transcriptional corepressor SEUSS, putative, expressed"
"Mn55","GO:0005634","nucleus","cellular_component","2N@10.06","Pavir.2NG039600","AT1G17210","ATILP1,ILP1","IAP-like protein 1","LOC_Os07g05610","zinc ion binding protein, putative, expressed"
"Mn55","GO:0005634","nucleus","cellular_component","2N@10.06","Pavir.2NG062946","AT1G54390","ING2","PHD finger protein-related","LOC_Os03g53700","PHD-finger domain containing protein, putative, expressed"
"Mn55","GO:0005634","nucleus","cellular_component","2N@10.06","Pavir.2NG063700","AT1G04240","IAA3,SHY2","AUX/IAA transcriptional regulator family protein","LOC_Os07g08460","OsIAA24 - Auxin-responsive Aux/IAA gene family member, expressed"
"Mn55","GO:0005634","nucleus","cellular_component","2N@10.06","Pavir.2NG229500","AT2G30620","","winged-helix DNA-binding transcription factor family protein","LOC_Os07g08710","AT hook-containing DNA-binding protein, putative, expressed"
"Mn55","GO:0005634","nucleus","cellular_component","3N@51.93","Pavir.3NG079630","AT5G59710","AtVIP2,VIP2","VIRE2 interacting protein 2","LOC_Os02g54120","CCR4-NOT transcription factor, putative, expressed"
"Mn55","GO:0005634","nucleus","cellular_component","3N@51.93","Pavir.3NG181692","AT5G42820","ATU2AF35B,U2AF35B","Zinc finger C-x8-C-x5-C-x3-H type family protein","LOC_Os09g31482","splicing factor U2AF, putative, expressed"
"Mn55","GO:0005634","nucleus","cellular_component","3N@51.93","Pavir.3NG182227","AT2G22670","IAA8","indoleacetic acid-induced protein 8","LOC_Os05g48590","OsIAA19 - Auxin-responsive Aux/IAA gene family member, expressed"
"Mn55","GO:0005634","nucleus","cellular_component","3N@51.93","Pavir.3NG182866","AT5G38110","ASF1B,SGA01,SGA1","anti- silencing function 1b","LOC_Os05g48030","anti-silencing protein, ASF1-like domain containing protein, expressed"
"Mn55","GO:0005634","nucleus","cellular_component","3N@51.93","Pavir.3NG258035","AT2G47210","","myb-like transcription factor family protein","LOC_Os05g46330","MYB family transcription factor, putative, expressed"
"Mn55","GO:0005634","nucleus","cellular_component","3N@51.93","Pavir.3NG258045","AT2G19480","NAP1;2,NFA02,NFA2","nucleosome assembly protein 1;2","LOC_Os05g46230","NAP domain containing protein, putative, expressed"
"Mn55","GO:0005634","nucleus","cellular_component","3N@51.93","Pavir.3NG258138","AT3G16500","IAA26,PAP1","phytochrome-associated protein 1","LOC_Os05g44810","OsIAA18 - Auxin-responsive Aux/IAA gene family member, expressed"
"Mn55","GO:0005634","nucleus","cellular_component","5K@12.07","Pavir.5KG027900","AT1G17760","ATCSTF77,CSTF77","Tetratricopeptide repeat (TPR)-like superfamily protein","LOC_Os12g38380","tetratricopeptide repeat containing protein, putative, expressed"
"Mn55","GO:0005634","nucleus","cellular_component","5K@12.07","Pavir.5KG036300","AT1G78650","POLD3","DNA-directed DNA polymerases","LOC_Os01g10690","POLD3 - Putative DNA polymerase delta complex subunit, expressed"
"Mn55","GO:0005634","nucleus","cellular_component","5K@12.07","Pavir.5KG044800","AT4G18960","AG","K-box region and MADS-box transcription factor family protein ","LOC_Os01g10504","OsMADS3 - MADS-box family gene with MIKCc type-box, expressed"
"Mn55","GO:0005634","nucleus","cellular_component","5K@12.07","Pavir.5KG057100","AT3G44530","HIRA","homolog of histone chaperone HIRA","LOC_Os09g39420","WD domain, G-beta repeat domain containing protein, expressed"
"Mn55","GO:0005634","nucleus","cellular_component","5K@12.07","Pavir.5KG064800","AT1G04250","AXR3,IAA17","AUX/IAA transcriptional regulator family protein","LOC_Os05g08570","OsIAA15 - Auxin-responsive Aux/IAA gene family member, expressed"
"Mn55","GO:0005634","nucleus","cellular_component","5K@12.07","Pavir.5KG070300","AT2G37990","","ribosome biogenesis regulatory protein (RRS1) family protein","LOC_Os04g58830","ribosome biogenesis regulatory protein, putative, expressed"
"Mn55","GO:0005634","nucleus","cellular_component","5K@12.07","Pavir.5KG079100","AT1G49950","ATTRB1,TRB1","telomere repeat binding factor 1","LOC_Os12g41920","single myb histone, putative, expressed"
"Mn55","GO:0005634","nucleus","cellular_component","5K@12.07","Pavir.5KG091100","AT1G32130","ATIWS1,IWS1","Transcription elongation factor (TFIIS) family protein","LOC_Os01g05420","IWS1 C-terminus family protein, putative, expressed"
"Mn55","GO:0005634","nucleus","cellular_component","5K@12.07","Pavir.5KG522900","AT1G51950","IAA18","indole-3-acetic acid inducible 18","LOC_Os05g09480","OsIAA16 - Auxin-responsive Aux/IAA gene family member, expressed"
"Mn55","GO:0005634","nucleus","cellular_component","7K@40.02","Pavir.7KG339400","AT5G23260","ABS,AGL32,TT16","K-box region and MADS-box transcription factor family protein ","LOC_Os04g52410","OsMADS31 - MADS-box family gene with MIKCc type-box, expressed"
"Mn55","GO:0005634","nucleus","cellular_component","9K@20.05","Pavir.9KG228635","AT4G29910","ATORC5,ORC5","origin recognition complex protein 5","LOC_Os03g55200","ORC5 - Putative origin recognition complex subunit 5, expressed"
"Mn55","GO:0005634","nucleus","cellular_component","9K@20.05","Pavir.9KG308484","AT1G17210","ATILP1,ILP1","IAP-like protein 1","LOC_Os03g57160","zinc ion binding protein, putative, expressed"
"Mn55","GO:0005634","nucleus","cellular_component","9K@20.05","Pavir.9KG395724","AT2G38560","TFIIS","transcript elongation factor IIS","LOC_Os03g60130","transcription elongation factor protein, putative, expressed"
"Mn55","GO:0005634","nucleus","cellular_component","9K@20.05","Pavir.9KG415749","AT2G30620","","winged-helix DNA-binding transcription factor family protein","LOC_Os07g08710","AT hook-containing DNA-binding protein, putative, expressed"
"Mn55","GO:0005634","nucleus","cellular_component","9K@20.05","Pavir.9KG416736","AT1G04240","IAA3,SHY2","AUX/IAA transcriptional regulator family protein","LOC_Os07g08460","OsIAA24 - Auxin-responsive Aux/IAA gene family member, expressed"
"Mn55","GO:0005634","nucleus","cellular_component","9K@20.05","Pavir.9KG473472","AT3G04730","IAA16","indoleacetic acid-induced protein 16","LOC_Os03g53150","OsIAA13 - Auxin-responsive Aux/IAA gene family member, expressed"
"Mn55","GO:0005634","nucleus","cellular_component","2N@10.06","Pavir.2NG030700","AT4G08150","BP,BP1,KNAT1","KNOTTED-like from Arabidopsis thaliana","LOC_Os07g03770","Homeobox domain containing protein, expressed"
"Mn55","GO:0005634","nucleus","cellular_component","2N@10.06","Pavir.2NG055900","AT3G22830","AT-HSFA6B,HSFA6B","heat shock transcription factor  A6B","LOC_Os07g08140","heat stress transcription factor, putative, expressed"
"Mn55","GO:0005634","nucleus","cellular_component","3N@51.93","Pavir.3NG179344","AT5G25150","TAF5","TBP-associated factor 5","LOC_Os06g44030","WD domain, G-beta repeat domain containing protein, expressed"
"Mn55","GO:0005634","nucleus","cellular_component","3N@51.93","Pavir.3NG258095","AT4G18880","AT-HSFA4A,HSF A4A","heat shock transcription factor  A4A","LOC_Os05g45410","HSF-type DNA-binding domain containing protein, expressed"
"Mn55","GO:0005634","nucleus","cellular_component","3N@51.93","Pavir.3NG258236","AT1G26470","","","LOC_Os05g43680","expressed protein"
"Mn55","GO:0005634","nucleus","cellular_component","5K@12.07","Pavir.5KG080800","AT5G05660","ATNFXL2","sequence-specific DNA binding transcription factors;zinc ion binding;sequence-specific DNA binding transcription factors","LOC_Os01g06550","NF-X1-type zinc finger protein, putative, expressed"
"Mn55","GO:0005634","nucleus","cellular_component","5K@12.07","Pavir.5KG112514","AT5G37930","","Protein with RING/U-box and TRAF-like domains","LOC_Os01g03270","expressed protein"
"Mn55","GO:0005634","nucleus","cellular_component","5K@12.07","Pavir.5KG120100","AT1G66620","","Protein with RING/U-box and TRAF-like domains","LOC_Os01g03420","seven in absentia protein family protein, putative, expressed"
"Mn55","GO:0005634","nucleus","cellular_component","5K@12.07","Pavir.5KG120400","AT5G37870","","Protein with RING/U-box and TRAF-like domains","LOC_Os01g03420","seven in absentia protein family protein, putative, expressed"
"Mn55","GO:0005634","nucleus","cellular_component","5K@12.07","Pavir.5KG120500","AT1G66620","","Protein with RING/U-box and TRAF-like domains","LOC_Os01g03420","seven in absentia protein family protein, putative, expressed"
"Mn55","GO:0005634","nucleus","cellular_component","5K@12.07","Pavir.5KG120600","AT5G37870","","Protein with RING/U-box and TRAF-like domains","LOC_Os01g55640","seven in absentia protein family protein, putative, expressed"
"Mn55","GO:0005634","nucleus","cellular_component","5K@12.07","Pavir.5KG120700","AT5G37870","","Protein with RING/U-box and TRAF-like domains","LOC_Os01g55640","seven in absentia protein family protein, putative, expressed"
"Mn55","GO:0005634","nucleus","cellular_component","5K@12.07","Pavir.5KG120900","AT1G66630","","Protein with RING/U-box and TRAF-like domains","LOC_Os01g03300","seven in absentia protein family protein, expressed"
"Mn55","GO:0005634","nucleus","cellular_component","5K@12.07","Pavir.5KG121200","AT5G37870","","Protein with RING/U-box and TRAF-like domains","LOC_Os01g03290","seven in absentia protein family domain containing protein, expressed"
"Mn55","GO:0005634","nucleus","cellular_component","5K@12.07","Pavir.5KG121300","AT5G37890","","Protein with RING/U-box and TRAF-like domains","LOC_Os01g03170","seven in absentia protein family protein, expressed"
"Mn55","GO:0005634","nucleus","cellular_component","5K@12.07","Pavir.5KG121487","AT5G37870","","Protein with RING/U-box and TRAF-like domains","LOC_Os01g55640","seven in absentia protein family protein, putative, expressed"
"Mn55","GO:0005634","nucleus","cellular_component","5K@12.07","Pavir.5KG121500","AT5G37870","","Protein with RING/U-box and TRAF-like domains","LOC_Os01g03170","seven in absentia protein family protein, expressed"
"Mn55","GO:0005634","nucleus","cellular_component","5K@12.07","Pavir.5KG121600","AT1G66660","","Protein with RING/U-box and TRAF-like domains","LOC_Os01g03190","expressed protein"
"Mn55","GO:0005634","nucleus","cellular_component","5K@12.07","Pavir.5KG121700","AT5G37890","","Protein with RING/U-box and TRAF-like domains","LOC_Os01g03170","seven in absentia protein family protein, expressed"
"Mn55","GO:0005634","nucleus","cellular_component","5K@12.07","Pavir.5KG121900","AT5G37870","","Protein with RING/U-box and TRAF-like domains","LOC_Os01g03170","seven in absentia protein family protein, expressed"
"Mn55","GO:0005634","nucleus","cellular_component","5K@12.07","Pavir.5KG122100","AT5G37930","","Protein with RING/U-box and TRAF-like domains","LOC_Os01g55640","seven in absentia protein family protein, putative, expressed"
"Mn55","GO:0005634","nucleus","cellular_component","5K@12.07","Pavir.5KG122500","AT5G62800","","Protein with RING/U-box and TRAF-like domains","LOC_Os01g03170","seven in absentia protein family protein, expressed"
"Mn55","GO:0005634","nucleus","cellular_component","5K@12.07","Pavir.5KG122600","AT5G37930","","Protein with RING/U-box and TRAF-like domains","LOC_Os01g03170","seven in absentia protein family protein, expressed"
"Mn55","GO:0005634","nucleus","cellular_component","5K@12.07","Pavir.5KG122800","AT5G37870","","Protein with RING/U-box and TRAF-like domains","LOC_Os01g03170","seven in absentia protein family protein, expressed"
"Mn55","GO:0005634","nucleus","cellular_component","5K@12.07","Pavir.5KG123300","AT1G66620","","Protein with RING/U-box and TRAF-like domains","LOC_Os01g03170","seven in absentia protein family protein, expressed"
"Mn55","GO:0005634","nucleus","cellular_component","5K@12.07","Pavir.5KG123587","AT5G62800","","Protein with RING/U-box and TRAF-like domains","LOC_Os01g03170","seven in absentia protein family protein, expressed"
